Code	Group	Subgroup	Brand	Item	Description	Wholesale price (USD)
1	Large home appliances	Refrigerators with Bottom Freezer	Bosch	Refrigerator Bosch Kgv36Nw1Ar		354.28
2	Large home appliances	Refrigerators with Bottom Freezer	Bosch	Refrigerator Bosch Kgv39Xw22R		426.41
3	Large home appliances	Refrigerators Single-chamber	Centek	Refrigerator Centek Ct-1700-47		96.83
4	Large home appliances	Refrigerators with Top Freezer	Den	Refrigerator Den R-216 005 G 		233.28
5	Large home appliances	Refrigerators with Top Freezer	Den	Refrigerator Den R-216 005 Mi 		233.28
6	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-290 003 B		257.85
7	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-290 003 G (Graphite Mirror)		261.82
8	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-290 003 Mi (Metallic Sparkling)		261.82
9	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-290 G		270.67
10	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-290 Mi (Metallic)		263.66
11	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-290 Ng		284.01
12	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-290 V		250.98
13	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-290 K (The Snow Queen)		263.66
14	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-291 006 B 		266.83
15	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-291 006 Dl (Light Oak)		301.18
16	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-291 006 G (Graphite Mirror)		290.08
17	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-291 B		268.68
18	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-291 Bi (White Spark)		282.29
19	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-291 R (Pink)		282.29
20	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-295 006 B		289.16
21	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-295 006 Bd (White Tree)		256.66
22	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-295 006 Mi (Metallic Sparkling)		316.9
23	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-295 006Buk (Beech)		315.05
24	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-296 B		282.29
25	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-296 Bi (White Spark)		296.42
26	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-296 Buk		316.11
27	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-296 Dub (Oak)		316.11
28	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-296 G (Graphite Mirror)		296.42
29	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-296 Mi (Metallic Sparkling)		296.42
30	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-296 Ng (Stainless steel)		304.88
31	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-296 S (Ivory)		296.42
32	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-297 006 B		297.75
33	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-297 006 Buk (Beech)		324.43
34	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-297 006 Dub (Oak)		324.43
35	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-297 006 Mi (Metallic Sparkling)		342.13
36	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-297 006 Vi (White Spark)		312.54
37	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-297 Dub		336.71
38	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-299 005 Buk (Beech)		332.22
39	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-299 006 Buk (Beech)		332.22
40	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-299 006 Dub (Oak)		332.22
41	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-299 006 G (Graphite)		323.5
42	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-299 B		296.56
43	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-299 Bi		323.5
44	Large home appliances	Refrigerators with Bottom Freezer	Den	Refrigerator Den R-299 Bi (White Spark)		311.48
45	Large home appliances	Refrigerators with Bottom Freezer	Indesit	Refrigerator Indesit Df 4160 W	General characteristics: Type refrigerator with freezer, Location standing separately, Freezer location, from below, Color / Coating material, White/Plastic/Metal, Control electromechanical, Energy consumption, class A+ (342 kWh/year), Quantity	304.22
46	Large home appliances	Refrigerators with Bottom Freezer	Indesit	Refrigerator Indesit Df 4180 W	Color: White; Fridge defrosting: NoFrost; Refrigerator volume: 227; Width: 60.00; Number of chambers: 2; Number of compressors: 1; Freezer location: bottom; Freezer defrosting: NoFrost; Height: 180	327.2
47	Large home appliances	Refrigerators with Bottom Freezer	Indesit	Refrigerator Indesit Df 5200 W	200x60x64, 249/75 l, No Frost, White	397.08
48	Large home appliances	Refrigerators with Bottom Freezer	Indesit	Refrigerator Indesit Ds 4160 S		284.01
49	Large home appliances	Refrigerators with Bottom Freezer	Indesit	Refrigerator Indesit Ds 4160 W		260.1
50	Large home appliances	Refrigerators with Bottom Freezer	Indesit	Refrigerator Indesit Ds 4180 W		293.52
51	Large home appliances	Refrigerators with Bottom Freezer	Indesit	Refrigerator Indesit Ds 4200 W		304.75
